datetime,blockchain,native,canonical,external,tvs,eth_price
2023-04-21,optimism,839175424.0,1058303171.6863842,25022319.842193604,1922500915.5285776,1942.5889
2023-04-21,starknet,0.0,35467710.296875,0.0,35467710.296875,1942.5889
2023-04-21,zksync,0.0,1.2300000190734863,0.0,1.2300000190734863,1942.5889
2023-04-20,arbitrum,2777315709.25,4698808210.362163,475199249.7337432,7951323169.345905,1936.4259
2023-04-20,optimism,881195224.0,1071927036.212242,25181531.84436035,1978303792.0566025,1936.4259
2023-04-20,starknet,0.0,34882404.65625,0.0,34882404.65625,1936.4259
2023-04-20,zksync,0.0,0.0,0.0,0.0,1936.4259
2023-04-19,arbitrum,3114999598.0,4994334272.344733,508803429.8599963,8618137300.20473,2103.2788
2023-04-19,optimism,935632344.0,1115789246.362511,27015547.77609253,2078437138.1386037,2103.2788
2023-04-19,starknet,0.0,36542121.125,0.0,36542121.125,2103.2788
2023-04-19,zksync,0.0,0.0,0.0,0.0,2103.2788
2023-04-18,arbitrum,2998717843.25,4940657359.3384495,496591319.4012437,8435966521.989693,2077.5356
2023-04-18,optimism,901995584.0,1090986105.2745745,27147137.06311035,2020128826.3376849,2077.5356
2023-04-18,starknet,0.0,36532128.375,0.0,36532128.375,2077.5356
2023-04-18,zksync,0.0,0.0,0.0,0.0,2077.5356
2023-04-17,arbitrum,3133365990.5,5025853586.627533,513873675.5512438,8673093252.678776,2120.3235
2023-04-17,optimism,929457232.0,1104190354.480292,27318284.252807617,2060965870.7331,2120.3235
2023-04-17,starknet,0.0,37515022.25,0.0,37515022.25,2120.3235
2023-04-17,zksync,0.0,0.0,0.0,0.0,2120.3235
2023-04-16,arbitrum,3079937917.0,4973491986.191105,525890140.885005,8579320044.07611,2093.1663
2023-04-16,optimism,937207648.0,1087952025.1020925,26883531.37905884,2052043204.481151,2093.1663
2023-04-16,starknet,0.0,36866757.59375,0.0,36866757.59375,2093.1663
2023-04-16,zksync,0.0,0.0,0.0,0.0,2093.1663
2023-04-15,arbitrum,3107764477.5,4982018515.783375,471386418.914999,8561169412.198374,2102.9463
2023-04-15,optimism,915704768.0,1092220785.8102205,27300384.343444824,2035225938.1536653,2102.9463
2023-04-15,starknet,0.0,35464096.796875,0.0,35464096.796875,2102.9463
2023-04-15,zksync,0.0,0.0,0.0,0.0,2102.9463
2023-04-14,arbitrum,2635962176.25,4800090142.788468,416775377.6612525,7852827696.69972,2012.7854
2023-04-14,optimism,834876928.0,1073168921.8991268,25882336.580307007,1933928186.4794335,2012.7854
2023-04-14,starknet,0.0,34050209.78125,0.0,34050209.78125,2012.7854
2023-04-14,zksync,0.0,0.0,0.0,0.0,2012.7854
2023-04-13,arbitrum,2380618916.0,4619150862.382093,370685010.6587505,7370454789.040844,1920.223
2023-04-13,optimism,784232684.0,1059237918.4319715,25047727.063430782,1868518329.4954023,1920.223
2023-04-13,starknet,0.0,33684711.59375,0.0,33684711.59375,1920.223
2023-04-13,zksync,0.0,0.0,0.0,0.0,1920.223
2023-04-12,arbitrum,2410012767.25,4633374912.949295,379985435.9924946,7423373116.19179,1892.939
2023-04-12,optimism,784519316.0,1065363314.2505232,24876689.044067383,1874759319.2945905,1892.939
2023-04-12,starknet,0.0,31792986.078125,0.0,31792986.078125,1892.939
2023-04-12,zksync,0.0,0.0,0.0,0.0,1892.939
2023-04-11,arbitrum,2470252655.25,4644394657.925011,389035164.5100002,7503682477.685011,1909.8821
2023-04-11,optimism,822387640.0,1072990278.987778,25488403.286254883,1920866322.2740328,1909.8821
2023-04-11,starknet,0.0,31122551.890625,0.0,31122551.890625,1909.8821
2023-04-11,zksync,0.0,0.0,0.0,0.0,1909.8821
2023-04-10,arbitrum,2372986920.25,4568581131.656689,385176364.8375001,7326744416.744188,1859.9404
2023-04-10,optimism,809933264.0,1059820497.0635544,24479154.223754883,1894232915.2873087,1859.9404
2023-04-10,starknet,0.0,30268089.609375,0.0,30268089.609375,1859.9404
2023-04-10,zksync,0.0,0.0,0.0,0.0,1859.9404
2023-04-09,arbitrum,2351331997.25,4542780766.999796,379290217.8612456,7273402982.111042,1851.0507
2023-04-09,optimism,795964240.0,1050338064.57033,24628608.780151367,1870930913.3504813,1851.0507
2023-04-09,starknet,0.0,29675228.2734375,0.0,29675228.2734375,1851.0507
2023-04-09,zksync,0.0,0.0,0.0,0.0,1851.0507
2023-04-08,arbitrum,2398270313.75,4569790077.638205,381919645.68563056,7349980037.073835,1865.9926
